Year,Locality,Suburb,State,Postcode,Employed,Unemployed
2016,Bakers Creek (Uralla - NSW) NSW 2422,Bakers Creek,NSW,2422,8,0
2016,Bakers Swamp NSW 2820,Bakers Swamp,NSW,2820,30,4
2016,Balaclava (NSW) NSW 2575,Balaclava,NSW,2575,233,3
2016,Balala NSW 2358,Balala,NSW,2358,54,3
2016,Balcolyn NSW 2264,Balcolyn,NSW,2264,383,25
2016,Bald Blair NSW 2365,Bald Blair,NSW,2365,31,0
2016,Bald Hills (NSW) NSW 2549,Bald Hills,NSW,2549,107,0
2016,Bald Nob NSW 2370,Bald Nob,NSW,2370,12,0
2016,Bald Ridge NSW 2795,Bald Ridge,NSW,2795,0,0
2016,Baldersleigh NSW 2365,Baldersleigh,NSW,2365,31,3
2016,Baldry NSW 2867,Baldry,NSW,2867,46,6
2016,Balfours Peak NSW 2403,Balfours Peak,NSW,2403,15,0
2016,Balgowlah NSW 2093,Balgowlah,NSW,2093,4154,142
2016,Balgowlah Heights NSW 2093,Balgowlah Heights,NSW,2093,1530,63
2016,Balgownie NSW 2519,Balgownie,NSW,2519,2473,115
2016,Balickera NSW 2324,Balickera,NSW,2324,7,0
2016,Balladoran NSW 2822,Balladoran,NSW,2822,51,5
2016,Ballalaba NSW 2622,Ballalaba,NSW,2622,8,0
2016,Balldale NSW 2646,Balldale,NSW,2646,60,0
2016,Ballengarra NSW 2441,Ballengarra,NSW,2441,37,3
2016,Ballimore NSW 2830,Ballimore,NSW,2830,92,4
2016,Ballina NSW 2478,Ballina,NSW,2478,2855,222
2016,Ballyroe NSW 2795,Ballyroe,NSW,2795,5,0
2016,Balmain NSW 2041,Balmain,NSW,2041,5636,218
2016,Balmain East NSW 2041,Balmain East,NSW,2041,1003,47
2016,Balmoral (Lake Macquarie - NSW) NSW 2283,Balmoral,NSW,2283,362,26
2016,Balmoral (Wingecarribee - NSW) NSW 2283,Balmoral,NSW,2283,224,10
2016,Balranald NSW 2715,Balranald,NSW,2715,561,49
2016,Bamarang NSW 2540,Bamarang,NSW,2540,14,0
2016,Banda Banda NSW 2446,Banda Banda,NSW,2446,0,0
2016,Bandon Grove NSW 2420,Bandon Grove,NSW,2420,61,3
2016,Bangadang NSW 2729,Bangadang,NSW,2729,5,0
2016,Bangalee (NSW) NSW 2541,Bangalee,NSW,2541,335,19
2016,Bangalow NSW 2479,Bangalow,NSW,2479,972,33
2016,Bangheet NSW 2404,Bangheet,NSW,2404,23,0
2016,Bango NSW 2582,Bango,NSW,2582,59,0
2016,Bangor (NSW) NSW 2234,Bangor,NSW,2234,2958,105
2016,Banksia NSW 2216,Banksia,NSW,2216,1606,101
2016,Banksmeadow NSW 2019,Banksmeadow,NSW,2019,10,0
2016,Bankstown NSW 2200,Bankstown,NSW,2200,11487,1399
2016,Bankstown Aerodrome NSW 2200,Bankstown Aerodrome,NSW,2200,0,0
2016,Bannaby NSW 2580,Bannaby,NSW,2580,16,0
2016,Bannister (NSW) NSW 2580,Bannister,NSW,2580,68,0
2016,Banoon NSW 2347,Banoon,NSW,2347,13,0
2016,Banora Point NSW 2486,Banora Point,NSW,2486,6265,421
2016,Banyabba NSW 2460,Banyabba,NSW,2460,7,0
2016,Bar Beach NSW 2300,Bar Beach,NSW,2300,648,35
2016,Bar Point NSW 2083,Bar Point,NSW,2083,29,0
2016,Bara NSW 2850,Bara,NSW,2850,5,0
2016,Baradine NSW 2396,Baradine,NSW,2396,232,17
2016,Barangaroo NSW 2000,Barangaroo,NSW,2000,76,0
2016,Barcoongere NSW 2462,Barcoongere,NSW,2462,0,0
2016,Barden Ridge NSW 2234,Barden Ridge,NSW,2234,2519,89
2016,Bardia NSW 2565,Bardia,NSW,2565,817,57
2016,Bardwell Park NSW 2207,Bardwell Park,NSW,2207,1143,49
2016,Bardwell Valley NSW 2207,Bardwell Valley,NSW,2207,1060,73
2016,Barellan NSW 2665,Barellan,NSW,2665,220,10
2016,Bargo NSW 2574,Bargo,NSW,2574,2032,100
2016,Barham NSW 2732,Barham,NSW,2732,577,16
2016,Barigan NSW 2850,Barigan,NSW,2850,0,0
2016,Barkers Vale NSW 2474,Barkers Vale,NSW,2474,65,6
2016,Barmedman NSW 2668,Barmedman,NSW,2668,137,18
2016,Barneys Reef NSW 2852,Barneys Reef,NSW,2852,0,0
2016,Barnsley NSW 2278,Barnsley,NSW,2278,850,71
2016,Barooga NSW 3644,Barooga,NSW,3644,773,42
2016,Barraba NSW 2347,Barraba,NSW,2347,421,47
2016,Barrack Heights NSW 2528,Barrack Heights,NSW,2528,2309,208
2016,Barrack Point NSW 2528,Barrack Point,NSW,2528,302,12
2016,Barraganyatti NSW 2441,Barraganyatti,NSW,2441,49,0
2016,Barragga Bay NSW 2546,Barragga Bay,NSW,2546,43,0
2016,Barratta (NSW) NSW 2710,Barratta,NSW,2710,3,0
2016,Barren Grounds NSW 2577,Barren Grounds,NSW,2577,0,0
2016,Barrengarry NSW 2577,Barrengarry,NSW,2577,83,0
2016,Barretts Creek NSW 2460,Barretts Creek,NSW,2460,3,0
2016,Barringella NSW 2540,Barringella,NSW,2540,16,0
